Country Name,2016 [YR2016]
Andorra,40129.8192007698
Australia,49888.0410842736
Austria,45061.4993920192
Belgium,41854.5498296444
Bermuda,108747.356144305
Canada,42314.0615817218
Cayman Islands,77802.2541567187
Channel Islands,55950.1482938989
Denmark,54500.9260410217
Faroe Islands,56875.2803813296
Finland,43451.2562442158
Germany,42961.0356905775
Greenland,48181.7453541266
"Hong Kong SAR, China",43734.1980702999
Iceland,61987.9263620283
Ireland,64192.9418053178
Isle of Man,82025.9454509241
Liechtenstein,165375.491396259
Luxembourg,106899.293549552
"Macao SAR, China",69074.0363049212
Monaco,173604.753555915
Netherlands,46808.5291492503
New Zealand,40113.7195382428
Norway,70867.3609970749
Qatar,61253.6375482797
San Marino,44359.4797662688
Singapore,57005.5887176547
Sweden,51820.3972482676
Switzerland,82153.0745447889
United Arab Emirates,41326.4018161569
United Kingdom,40988.1044233026
United States,57976.628204291
